pmid,species_name,species_id,gene_name,gene_id,title,abstract,mesh
39617796,Pseudomonas aeruginosa,287,DHFR,103223875,"Synthesis, characterization, quantum chemical modelling, molecular docking, in silico and in vitro assessment of 3-(2-bromo-5-fluorophenyl))-1-(thiophen-2-yl)prop-2-en-1-one.","α,β-unsaturated carbonyl compounds have extensive applications in various fields, such as organic, inorganic, analytical, and biological. In the modern era, they offer excellent pharmacological application prospects and find widespread use in the pharmaceutical industry. The current study revealed the synthesis and characterization of a novel 3-(2-bromo-5-fluorophenyl)-1-(thiophen-2-yl) prop-2-en-1-one (CY3). In vitro their antimicrobial (Pseudomonas aeruginosa, Klebsiella pneumonia, Escherichia coli, Staphylococcus aureus, and Acinetobacter baumannii), antifungal ( Candida parapsilosis, Candida tropicalis, and Candida albicans), cytotoxicity (VERO and Hep-G2 cells), in silico, and molecular docking analysis were also performed. The in-silico analysis evaluated the drug-likeness properties of the compound CY3 using various filtering rules, including Lipinski's, Ghose filter, Veber, Egan, Muegge, and Medicinal Chemistry alerts such as Pan Assay Interference Structures (PAINS), Brenk, and Lead-likeness. Then, molecular docking studies performed using the AutoDock (AD4), Vina, and iGEMDOCK tools to determine the mechanism by which the CY3 compound interact with the bacterial strains. Here, five different receptors were selected, such as DNA gyrase, glucose 6-phosphate synthase (GlmS), dihydrofolate reductase (DHFR), dehydrosqualene synthase (DHSS), and undecaprenyl pyrophosphate synthase (UDPPS), for molecular docking analysis. The CY3 compound showed a good binding affinity with the two target proteins, DHFR and DHSS, respectively, with maximum binding energies of about - 7.07 and - 7.05 kcal/mol. The synthesized CY3 compound exhibited moderate antibacterial activity with a MIC value > 100 µg/mL against all five bacterial strains and moderate antifungal activity with a MIC value > 50 µg/mL against all three fungal strains. Drug-likeness analyses also support their favourable bioavailability.",Molecular Docking Simulation; Microbial Sensitivity Tests; Humans; Antifungal Agents; Anti-Bacterial Agents; Thiophenes; Anti-Infective Agents; Hep G2 Cells
39618182,sunflower,4232,,,Detecting the effect of intensive agriculture on Odonata diversity using citizen science data.,"Agricultural areas represent one of the major ecosystems of the world. Intensification of agricultural practices produced openfields characterized by low biological diversity. Nevertheless, the distance up to which intensive agricultural fields alter surrounding natural systems is rarely quantified. We determined the spatial scale at which agricultural landscapes alter the diversity of Odonates, a key taxon in wetland ponds, and we tested to what extent citizen science data can be used reliably for this purpose. We compiled 7731 observations made in a portion of the region Centre-Val-de-Loire (France) over 10 years by naturalists on 729 water bodies to analyze the effect of agricultural landscapes (mainly wheat, rapeseed, sunflower) on the species richness of both damselflies and dragonflies in lentic systems. Sixty species were reported over the 10-year period. For dragonflies, intensive agricultural landscapes best explained their richness at the scales of 800 and 1600 m for overall and autochthonous species, respectively, when using the full dataset. The spatial scale was smaller for damselflies, at 200 m for both overall and autochthonous species. These distances were not severely impacted when constraining the data to consider several biases. Multimodel averaging showed that the proportion of intensive agriculture decreased species richness, despite the potential biases inherent to an imperfect database acquired by citizens. This imperfect citizen dataset allows to infer the lowest effect size of agriculture on species richness. Quantitatively, this effect was more important for autochthonous species. Interestingly, both relatively rare taxa and common or generalist species can be under threat in intensive agricultural landscapes, calling for more ecotoxicological studies. The influence of agricultural practices from a distance implies that conservation and management plans of wetland ponds should consider the landscape ecological characteristics and not only the pond features. Conservation efforts focusing too locally on a site may be undermined because intensive agriculture from a distance limits the potential for the site to recover highly diverse communities. These distant effects should be integrated by policy-makers when deciding which wetland pond should benefit from a conservation plan or which conservation action may be planned, implementing, for instance, buffer zones and/or ecological corridors composed of natural vegetation.",Biodiversity; Animals; Odonata; Agriculture; Citizen Science; France; Environmental Monitoring
39618192,dogs,9615,,,"Glycated haemoglobin and serum fructosamine concentrations in sick, non-diabetic dogs receiving oral prednisolone.",Glucocorticoids have been associated with an increased risk of developing diabetes mellitus (DM) in dogs. Glycated haemoglobin (HbA1c) and serum fructosamine have been scarcely studied in dogs receiving glucocorticoid therapy. The aim of this study was to evaluate HbA1c and fructosamine in non-diabetic dogs receiving oral prednisolone.,"Animals; Dogs; Fructosamine; Cross-Sectional Studies; Prednisolone; Dog Diseases; Female; Glycated Hemoglobin; Male; Administration, Oral; Glucocorticoids"
39618544,HIV,11676,,,"PREDICTORS OF HIV STATUS DISCLOSURE AND CONDOM USE AMONG MOTHERS LIVING WITH HIV IN A TERTIARY HOSPITAL SOUTHEAST, NIGERIA.","Non-disclosure of HIV status and poor condom use, among mothers living with HIV may pose risks of HIV transmission to their serodiscordant partners and may influence the outcome of their infants. The study was aimed at assessing predictors of HIV status disclosure, and condom use, among mothers of infants exposed to HIV attending the ART clinic in Abakaliki, Southeast Nigeria.",
39618551,Candida antarctica,84753,lipase,26302740,"Integrating continuous flow reaction and work-up: chiral amine resolution, separation and purification using a novel coalescing filter system.","To maximize the benefits of a continuous flow reaction, a continuous work-up is also needed. Herein, we present a process design and novel equipment for a continuous amine resolution reaction, integrated with liquid-liquid (L-L) extraction, back-extraction into a different solvent, and crystallisation purification for product isolation. The reaction, in iso-propyl acetate, flows through a heated fixed-bed reactor with solid supported ",
39618556,jujube,326968,,,,Facility warming can promote fruit ripening of winter jujube (,
39618557,Lactococcus,1357,,,Effect of olive leaf extract on the quality of Cantal cheese.,"This study aimed to evaluate the impact of olive leaf extract (OLE) on the quality of Cantal cheese. The cheeses were fortified with different concentrations (Control, 1, 2, and 3 %) of OLE and analysed for quality during storage. The cheeses were evaluated on days 1, 28, and 63 for physicochemical, compositional, textural, rheological parameters, colour, microbiological analysis, and antioxidant activity. The MIR and fluorescence spectroscopies were used to study the changes in the cheese molecular structure. A positive impact of OLE was observed on the antioxidant capacity. A mild inhibitory effect was observed against some beneficial bacteria (such as ",
39618724,Ipomoea,4119,,,The research behind a taxonomic monograph: a case study from ,"Systematic monographs are an important tool for understanding biodiversity. However, while papers that outline systematic methods for biogeography, phylogenetics and diversification are commonplace, papers that cover methods for monographic and taxonomic research are rare. In this paper, we describe how we conducted a monographic study of ",
39618822,HIV,11676,CD8,925,The role of mRNA-galsomes and LNPs in enhancing HIV-specific T cell responses across various lymphoid organs.,"mRNA nanoparticles have been investigated in the context of prophylactic vaccination against HIV, but their effectivity has not been widely investigated in therapeutic vaccination. It has been suggested that a profound CD8",
39618921,DENV,12637,IL-13,3596,Atopic Dermatitis Immune Dysregulation as Dengue Predisposing Factor.,"The immune response is important in dengue's clinical manifestation, and the immune dysregulation in Atopic Dermatitis (AD) can permit immune evasion by viruses. There have been many studies describing the immune response in AD and the pathomechanism of dengue, but AD as a predisposing factor for dengue and its severity have not been much discussed. This review investigates how immune dysregulation in AD may be a predisposing factor for Dengue and its severe outcomes.",
39618968,Staphylococcus aureus,1280,,,Synthesis of chitosan nanoparticles (CSNP): effect of CH-CH-TPP ratio on size and stability of NPs.,"In the face of a pressing global issue-the escalating threat of antibiotic resistance-the development of new antimicrobial agents is urgent. Nanotechnology, with its innovative approach, emerges as a promising solution to enhance the efficacy of these agents and combat the challenge of microbial resistance. Chitosan nanoparticles (CSNPs) stand out in biomedical applications, particularly in the controlled release of antibiotics, with their unique properties such as biocompatibility, stability, biodegradability, non-toxicity, and simple synthesis processes suitable for sensitive molecules. This study synthesized CSNPs using the ionotropic gelation method, with tripolyphosphate (TPP) as the crosslinking agent. Various CS: TPP ratios (6:1, 5:1, 4:1, 3:1, 2:1) were tested, and the resulting nanoparticles were evaluated using dynamic light scattering (DLS). The CS: TPP ratio of 4:1, with an average hydrodynamic diameter (DHP) of (195 ± 10) nm and a zeta potential of (51 ± 1) mV, was identified as the most suitable for further analysis. The characterization of NPs by Transmission Electron Microscope (TEM) and atomic force microscopy (AFM) revealed diameters of (65 ± 14) nm and (102 ± 18) nm, respectively. Notably, CSNPs exhibited significant aggregation during centrifugation and lyophilization, leading to diameter increases of up to 285% as measured by AFM. The antibacterial activity of CSNPs against ",
39619020,Streptococcus sanguinis,1305,,,,"Bacterial endocarditis presents as inflammation of the endocardium and valves of the 4 layers of the heart. The presentation and sequelae of bacterial endocarditis may vary and in certain circumstances may mimic rheumatologic disease. Antinuclear cytoplasmic antibody (ANCA)-positive bacterial endocarditis constitutes a special subgroup of bacterial endocarditis. Based on a systematic review, ANCA positivity was detected in 18% to 43% of infectious endocarditis cases, with 79% cytoplasmic ANCA/proteinase 3, 11% ANCA/myeloperoxidase positive, and 8% double positive.",
39619038,Treponema Pallidum,160,,,Treponema Pallidum: A Forgotten Pathogen With Major Cardiovascular Consequence.,"The incidence of syphilis has increased in the last 2 decades. This case describes a 43-year-old with aortic aneurysm and symptomatic aortic regurgitation initially suspected to be congenital and later confirmed as syphilitic in etiology, illustrating a growing need to consider tertiary syphilis as a cause of aortopathy.",
39619195,sea urchin,7656,,,Effects of temperature and size class on the gut digesta microbiota of the sea urchin ,"Understanding the dynamics of the gut microbiota in sea urchins is crucial for comprehending the ecological balance in marine ecosystems. The gut microbiota plays a vital role in nutrient metabolism, immune system modulation, and pathogen protection. The microbial composition and dynamics of naturally occurring sea urchin ","Animals; Gastrointestinal Microbiome; Sea Urchins; RNA, Ribosomal, 16S; Temperature; Seasons; Puerto Rico; Feces"
39619279,Saprochaete capitata,1095183,,,,We report a case of a 15-year-old with refractory and relapsed AML and profound prolonged neutropenia who developed a ,
39619280,HIV,12721,,,Refractory HIV-Associated Guillain-Barré Syndrome Responsive to Antiretroviral Therapy: A Case Report.,"Guillain-Barré Syndrome (GBS) is an acute polyneuropathy commonly preceded by infection, with growing recognition of the human immunodeficiency virus (HIV) as a trigger. We present a case of a 44-year-old male with HIV-associated GBS refractory to intravenous immunoglobulin (IVIG) therapy, who achieved remission upon starting highly active antireroviral therapy (HAART). There remains a lack of consensus on the management of this condition across the spectrum of disease, and the interplay between the therapeutic options is poorly understood. This report aims to add to the current body of knowledge on this rare condition and highlight the need for retrospective analysis of the currently available literature.",
39619297,Varicella-zoster virus,10335,,,"Neonatal Varicella, Treated With Oral Acyclovir: A Rare and Challenging Case Report in a Limited-Resource Country Like Cambodia.","Varicella-zoster virus can be transmitted transplacentally to a fetus from symptomatic mothers developing skin lesions between 5 days before and 2 days after delivery. The diagnosis is clinical. Its management is challenging in limited-resource countries, namely Cambodia, due to the lack of varicella zoster immune globulin and intravenous acyclovir.",
39619335,tobacco,4097,,,Associations between social norms and at-risk status for e-cigarette use: A sex-stratified analysis of Texas sixth-grade students.,"E-cigarette use remains high among adolescents, underscoring the need to identify targetable risk factors for intervention. This study examines associations between two social norms constructs (prevalence misperceptions and social acceptability) and at-risk status for e-cigarette use among Texas early adolescents.",
39619370,Aspergillus,5052,,,Fungal Pneumonia in a Diabetic Female Masquerading as Primary Lung Cancer.,,
39619514,bacteria,629395,,,Atomic Force Microsocopy: Key Unconventional Approach for Bacterial Nanotubes Characterization In Vivo.,"Bacterial communication is essential; understanding its mechanisms could lead to better control of bacterial growth, which is a key factor in important bacteria-related issues like the emerging problem of antimicrobial resistance (AMR) or energy production using MFC (Microbial Fuel Cell). We know that bacteria exchange metabolites through the extracellular environment and communicate primarily via these secreted extracellular factors, yet it remained unclear whether bacteria can also use cell-cell connections to directly exchange nutrients, as evidenced in plant or mammal cells. Recent studies opened up great prospects by introducing some startling new discoveries on bacterial communication. Indeed, a previously uncharacterized type of bacterial communication mediated by nanotubes, small filaments connecting bacteria, that bridge neighboring cells was recently identified, making evidence of the existence of microstructures connecting bacterial cells together and allowing the transfer of molecules. Exploring the formation and the functioning of this new mechanism of bacterial communication in biofilms could lead for example, to better control of the major global problem of AMR. Thus, current studies have highlighted the crucial function of establishing tight connections between bacterial cells without answering a number of unresolved questions, especially those about their submicrometric biophysical characteristics. In this study, we provide new evidence of the existence of these nanotubes, using an unconventional approach in the analysis of biological samples based on scanning probe microscopy (SPM), precisely atomic force microscopy (AFM) in liquid, using Quantitative imaging mode, to investigate locally the properties of these intercellular bridges. This is, to our knowledge, the first time bacterial nanotubes are characterized by AFM in liquid on living bacteria. A protocol we developed enabled us to visualize these intercellular links on native bacteria without any immobilization. This challenging technique, unconventional for characterizing biological materials, enabled real-time nanomechanical mapping of these structures. By analyzing approach curves, the Young modulus was calculated, revealing new insights into their nanomechanical properties. Their lower Young's modulus (compared to that of the main body of the bacteria) suggest flexibility, which underscores an essential role in facilitating intercellular communication and material transfer.",
39619562,Trichoderma sp.,1715253,,,Characterization of the Structure of Rice and Wheat Straw Pretreated with ,,
39619610,Poria cocos,81056,TRPC6,7225,Focus on podocytes: diabetic kidney disease and renal fibrosis - a global bibliometric analysis (2000-2024).,"Diabetic kidney disease (DKD) is a common pathway to End-stage renal disease (ESRD). Podocytes are crucial due to their dual barrier functions in kidney diseases. Their role in renal fibrosis and DKD regulatory mechanisms is increasingly studied. However, bibliometric research in this field has not been explored.",
39619672,Lachnospiraceae,186803,,,Gut Microbiota's role in lipoma development: evidence from mendelian randomization.,"Lipoma, a benign tumor derived from mesenchymal tissue, significantly affects patients' physical and psychological wellbeing. Increasing evidence points to a strong link between the gut microbiome (GM) and lipoma incidence. This study utilizes Mendelian Randomization (MR) to assess the potential causal relationships between the GM and lipoma development.",
39619691,Microcerotermes sp.,2904732,,,Metagenomics analysis of bacterial community structure from wood- and soil-feeding termites: metabolic pathways and functional structures toward the degradation of lignocellulose and recalcitrant compounds.,"Some essential information on gut bacterial profiles and their unique contributions to food digestion in wood-feeding termites (WFT) and soil-feeding termites (SFT) is still inadequate. The feeding type of termites is hypothesized to influence their gut bacterial composition and its functionality in degrading lignocellulose or other organic chemicals. This could potentially provide alternative approaches for the degradation of some recalcitrant environmental chemicals. Therefore, metagenomic analysis can be employed to examine the composition and functional profiles of gut bacterial symbionts in WFT and SFT. Based on the metagenomic analysis of the 16S rRNA gene sequences of gut bacterial symbionts in the WFT, ",
39619692,H. pylori,210,urease,,The effect of three urease inhibitors on ,Treatment of ,
39619742,bacteria,629395,,,Seventeen antibiotic-producing bacteria isolates found across four freshwater environments.,"Antibiotics are produced by microorganisms as defense mechanisms against bacteria and have treated bacterial infections for decades. Most of the current antibiotics are extracted from soil bacteria, and no new antibiotic class has been found in nearly 40 years. However, antibiotic-producing bacteria were discovered on tree bark, emphasizing that other environments should be explored for these bacteria. This research identified a new environment for antibiotic-producing bacteria-freshwater. Bacteria from freshwater sources in Wisconsin were cultured and screened against nine tester bacteria. All four water sources contained antibiotic-producing bacteria; therefore, freshwater environments should be further studied for novel antibiotic-producing bacteria.",
39619767,tobacco,4097,P16,1029,"Anthracosis, epidemiology, gene and cancer: An updated mini-review.","It is believed that anthracosis is one of the most important occupational diseases, mainly seen in the residents of industrial areas and coal mine workers. This bronchial disease is more common in Asia's rural areas, particularly in the Middle East. In this study, we examined the epidemiology and genetic factors affecting this disease and its relationship with different types of cancer.",
39619921,H9N2,102796,,,Beyond traditional vaccines: Semi-purified low-pathogenic avian influenza H9N2 virus-like particles and their promise for broiler immunity.,"Avian influenza is a global threat to avian species, particularly in developing countries. Recombinant vaccines, including virus-like particles (VLPs), are promising strategies for preventing the spread of the disease. VLPs produced through the self-assembly of viral structural proteins without genomic material mimic native virions and are promising platforms for new vaccines. VLPs have been shown to elicit protective antibodies and are effective and safe vaccines against influenza. This study aimed to optimize the protocol for the production and characterization of H9N2 VLPs and their evaluation as a vaccine in broiler birds.",
39619931,cats,9685,PAX5,101089303,"Histopathological patterns and immunophenotyping of feline lymphomas and incidence in Metropolitan Bangkok, Thailand.","Feline lymphomas are categorized based on the location of tumor cells, with anatomical classifications including alimentary, mediastinal, multicentric, and extranodal forms. Accurate diagnosis and classification of feline lymphoma are paramount for enhancing treatment and prognosis. T-cell lymphomas are CD3 positive, while B-cell lymphomas exhibit positive forCD20, CD79α, and paired box 5 (PAX5). The aims of this study were (1) to classify feline lymphoma in each anatomical subtype using the World Health Organization (WHO) classification to provide information on epidemiological findings; (2) to investigate the expression and detection of B-cell lymphoma, various antibodies will be used, with the addition of PAX5, for clearer results; and (3) to gather more extensive information about feline lymphoma in Thailand, particularly in the Bangkok area.",
39619941,R. microplus,6941,,,Designing a multi-epitope construct using immuno-informatic tools to prepare a messenger RNA vaccine against ,Ticks are blood-feeding ectoparasites that transmit pathogens to animals and humans. One of the most important hard ticks in animals is ,
